name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,Spectral Centroid,Spectral Rolloff,Spectral Bandwidth,Tempo,Mean Beat Frame,Mean Beat Interval,Chroma Mean0,Chroma Mean1,Chroma Mean2,Chroma Mean3,Chroma Mean4,Chroma Mean5,Chroma Mean6,Chroma Mean7,Chroma Mean8,Chroma Mean9,Chroma Mean10,Chroma Mean11,MFCC0,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,ZCR
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,10/27/82,68.0,379266.0,0.866,0.1369999999999999,0.73,0.0,0.0843,0.625,-8.201,0.0767,118.523,5.0,4.0,Happy,2852.036558851237,5661.034975237489,2447.759223809533,117.45383522727273,4687.258373205742,0.5042683676188301,0.5939332246780396,0.43415507674217224,0.49263519048690796,0.3518449664115906,0.4011029303073883,0.5009203553199768,0.3980303108692169,0.49318182468414307,0.44891083240509033,0.5690503120422363,0.5614088177680969,0.4642668664455414,-129.1820831298828,76.1923828125,-22.49095344543457,26.031923294067383,-12.183496475219727,18.72664451599121,-12.77272891998291,11.121480941772461,-11.084842681884766,11.74206256866455,-9.819561004638672,9.251543998718262,-8.716939926147461,0.1585051142068273
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,4/16/07,43.0,318800.0,0.381,0.0189,0.8320000000000001,0.196,0.153,0.166,-5.069,0.0492,120.255,8.0,4.0,Sad,1784.9164917747134,3706.1387554230123,1951.6654800367612,123.046875,6540.308702791462,0.49781596849266024,0.4319043755531311,0.21420498192310333,0.2572959363460541,0.3801290690898895,0.3068735897541046,0.3991067409515381,0.24995139241218567,0.46994760632514954,0.33817774057388306,0.32113051414489746,0.48944225907325745,0.340311199426651,-127.52481842041016,125.65016174316406,-29.39177894592285,30.035505294799805,-10.871103286743164,13.99434757232666,-10.998876571655273,13.448858261108398,-10.29914379119873,10.920575141906738,-9.161104202270508,4.330887317657471,-9.593442916870117,0.08110888863897751
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,11/6/06,60.0,217946.0,0.346,0.913,0.139,7.730000000000001e-05,0.0934,0.116,-15.326,0.0321,136.168,0.0,4.0,Sad,960.0318273703051,1693.1781609043762,1327.4904700859902,143.5546875,5394.139534883721,0.41568590140018713,0.44693678617477417,0.28673774003982544,0.30135631561279297,0.25787296891212463,0.3668302893638611,0.2862185537815094,0.26614144444465637,0.45386460423469543,0.24654123187065125,0.25165891647338867,0.20028075575828552,0.33884817361831665,-290.6888732910156,146.6582794189453,32.76319122314453,20.24295425415039,7.5368428230285645,4.741147041320801,-5.405577182769775,5.888498306274414,-5.282573223114014,7.704654693603516,-9.466618537902832,-2.173966884613037,-7.856247901916504,0.042770352443364856
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,8/21/84,2.0,233000.0,0.466,0.089,0.438,5.62e-06,0.113,0.5870000000000001,-12.858,0.0608,193.1,4.0,4.0,Happy,2369.690473446885,5072.266454850703,2389.9325307682584,95.703125,4738.707602339181,0.6250321516680964,0.2893015742301941,0.38324201107025146,0.32141897082328796,0.3321209251880646,0.5304149985313416,0.41988760232925415,0.47387534379959106,0.3852892816066742,0.39158734679222107,0.3843972086906433,0.3205333352088928,0.34845712780952454,-197.256591796875,88.76163482666016,1.0558613538742065,38.457550048828125,1.2126134634017944,19.24489402770996,-7.290719509124756,13.500561714172363,-8.195999145507812,11.630782127380371,-9.865419387817383,7.387092113494873,-15.808731079101562,0.10941540380970667
A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,1/1/04,60.0,268000.0,0.419,0.00171,0.932,0.0,0.1369999999999999,0.445,-3.604,0.106,169.88099999999997,1.0,4.0,Energetic,2369.690473446885,5072.266454850703,2389.9325307682584,95.703125,4738.707602339181,0.6250321516680964,0.2893015742301941,0.38324201107025146,0.32141897082328796,0.3321209251880646,0.5304149985313416,0.41988760232925415,0.47387534379959106,0.3852892816066742,0.39158734679222107,0.3843972086906433,0.3205333352088928,0.34845712780952454,-197.256591796875,88.76163482666016,1.0558613538742065,38.457550048828125,1.2126134634017944,19.24489402770996,-7.290719509124756,13.500561714172363,-8.195999145507812,11.630782127380371,-9.865419387817383,7.387092113494873,-15.808731079101562,0.10941540380970667
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,7/31/20,27.0,129410.0,0.394,0.995,0.0475,0.955,0.105,0.172,-26.432,0.072,71.241,6.0,5.0,Calm,2305.510058577076,4588.066512848696,2195.795350085911,86.1328125,5743.496083550914,0.6971457064501193,0.3725220561027527,0.42021557688713074,0.3238052427768707,0.3545020818710327,0.4194503128528595,0.3879258930683136,0.44776451587677,0.47359225153923035,0.6550055146217346,0.510408341884613,0.45217064023017883,0.45635634660720825,5.8807053565979,95.71975708007812,-31.032108306884766,39.55845642089844,-8.907011985778809,17.709138870239258,-1.069238305091858,15.656082153320312,-4.590402126312256,18.000804901123047,-7.24403190612793,9.909736633300781,-10.99193000793457,0.11721740685642813
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,8/7/20,29.0,141888.0,0.504,0.994,0.0584,0.956,0.115,0.5529999999999999,-20.461,0.0516,134.209,5.0,4.0,Calm,1681.458088074101,3197.0079894393566,1723.8342610247737,161.4990234375,3982.1931589537226,0.372268305171531,0.33363258838653564,0.3345929682254791,0.3350459635257721,0.3078136444091797,0.35034894943237305,0.31743019819259644,0.31741976737976074,0.34469494223594666,0.3693661391735077,0.3914101719856262,0.3679903745651245,0.3482625186443329,-275.79595947265625,112.49695587158203,5.254213809967041,24.48053550720215,9.202346801757812,4.816981792449951,-3.867058038711548,-3.3205149173736572,-5.453315734863281,-1.9197653532028198,-11.959391593933105,-1.004819631576538,-4.061588287353516,0.07171304926028528
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,12/28/09,1.0,211173.0,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4.0,4.0,Happy,622.2716849651378,961.205835028832,586.7879892576374,129.19921875,2709.503623188406,0.45367569573283856,0.2714061439037323,0.20370040833950043,0.08817818015813828,0.1470554918050766,0.17727744579315186,0.3490597903728485,0.15357732772827148,0.30673372745513916,0.29256701469421387,0.10425213724374771,0.15339873731136322,0.12273787707090378,-346.1402893066406,161.01943969726562,47.7802619934082,1.0860165357589722,5.425993919372559,4.400180816650391,-5.162212371826172,-9.623029708862305,-9.233078956604004,-7.720425605773926,-8.427170753479004,-9.789474487304688,-6.536633014678955,0.04225362125286275
A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,10/24/00,68.0,184640.0,0.603,0.0144,0.908,0.0,0.6709999999999999,0.457,-5.254,0.184,133.063,11.0,4.0,Energetic,2555.9175012784785,5408.622453251273,2449.554077869405,117.45383522727273,4921.255125284738,0.5211766533097257,0.44829556345939636,0.4110826253890991,0.44578078389167786,0.5290321111679077,0.6020874977111816,0.5116567015647888,0.4641764461994171,0.4485442042350769,0.4859851896762848,0.5024338364601135,0.5309439301490784,0.5901326537132263,-94.9972915649414,82.24663543701172,-14.495497703552246,40.03532028198242,2.3574390411376953,24.91354751586914,-9.697588920593262,12.62026596069336,-12.580584526062012,10.85545825958252,-7.061326026916504,10.225729942321777,-8.850164413452148,0.12084620253363117
ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,5/15/07,0.0,189200.0,0.331,0.00344,0.8759999999999999,0.000835,0.732,0.299,-1.894,0.0603,175.009,5.0,4.0,Energetic,2555.9175012784785,5408.622453251273,2449.554077869405,117.45383522727273,4921.255125284738,0.5211766533097257,0.44829556345939636,0.4110826253890991,0.44578078389167786,0.5290321111679077,0.6020874977111816,0.5116567015647888,0.4641764461994171,0.4485442042350769,0.4859851896762848,0.5024338364601135,0.5309439301490784,0.5901326537132263,-94.9972915649414,82.24663543701172,-14.495497703552246,40.03532028198242,2.3574390411376953,24.91354751586914,-9.697588920593262,12.62026596069336,-12.580584526062012,10.85545825958252,-7.061326026916504,10.225729942321777,-8.850164413452148,0.12084620253363117
